Manufacturer,Vensys
Model,155_Vensys
Capacity,6200
Usage,Onshore
HubHeight,"102.5, 152.5"
Source,World Wind Farm 2023
RotorDiameter,155.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,20
3.5,105
4.0,205
4.5,385
5.0,573
5.5,795
6.0,1023
6.5,1355
7.0,1698
7.5,2085
8.0,2475
8.5,2976
9.0,3478
9.5,4000
10.0,4521
10.5,5105
11.0,5688
11.5,5920
12.0,6015
12.5,6080
13.0,6138
13.5,6152
14.0,6159
14.5,6188
15.0,6200
15.5,6200
16.0,6200
16.5,6200
17.0,6200
17.5,6200
18.0,6200
18.5,6200
19.0,6200
19.5,6200
20.0,6200
20.5,6200
21.0,6200
21.5,6200
22.0,6200
22.5,6200
23.0,6200
23.5,6200
24.0,6200
24.5,6200
25.0,6200
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
