Manufacturer,Vensys
Model,126_Vensys
Capacity,3800
Usage,Onshore
HubHeight,"86.9, 136.9"
Source,World Wind Farm 2023
RotorDiameter,136.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,23
3.0,52
3.5,120
4.0,189
4.5,300
5.0,412
5.5,565
6.0,721
6.5,925
7.0,1133
7.5,1400
8.0,1674
8.5,2040
9.0,2395
9.5,2745
10.0,3082
10.5,3350
11.0,3605
11.5,3700
12.0,3768
12.5,3790
13.0,3800
13.5,3800
14.0,3800
14.5,3800
15.0,3800
15.5,3800
16.0,3800
16.5,3800
17.0,3800
17.5,3800
18.0,3800
18.5,3800
19.0,3800
19.5,3800
20.0,3800
20.5,3800
21.0,3800
21.5,3800
22.0,3800
22.5,3800
23.0,3800
23.5,3800
24.0,3800
24.5,3800
25.0,3800
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
