Manufacturer,Senvion
Model,3.7M144_EBC_Senvion
Capacity,3700
Usage,Onshore
HubHeight,"108, 165"
Source,World Wind Farm 2023
RotorDiameter,144.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,25
3.0,61
3.5,130
4.0,209
4.5,371
5.0,539
5.5,750
6.0,963
6.5,1252
7.0,1540
7.5,1930
8.0,2311
8.5,2700
9.0,3083
9.5,3315
10.0,3483
10.5,3618
11.0,3695
11.5,3700
12.0,3700
12.5,3700
13.0,3700
13.5,3700
14.0,3700
14.5,3700
15.0,3700
15.5,3700
16.0,3700
16.5,3700
17.0,3700
17.5,3700
18.0,3700
18.5,3700
19.0,3700
19.5,3700
20.0,3700
20.5,3700
21.0,3700
21.5,3650
22.0,3497
22.5,3225
23.0,2933
23.5,2550
24.0,2163
24.5,1855
25.0,1546
25.5,1164
26.0,782
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
