Manufacturer,Danwin
Model,26-250_Danwin
Capacity,250
Usage,Onshore
HubHeight,"30, 30"
Source,World Wind Farm 2023
RotorDiameter,26.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,2
4.5,5
5.0,10
5.5,16
6.0,24
6.5,32
7.0,41
7.5,55
8.0,70
8.5,86
9.0,102
9.5,120
10.0,138
10.5,155
11.0,172
11.5,189
12.0,206
12.5,222
13.0,236
13.5,244
14.0,248
14.5,249
15.0,250
15.5,247
16.0,244
16.5,240
17.0,236
17.5,233
18.0,230
18.5,227
19.0,224
19.5,222
20.0,220
20.5,218
21.0,217
21.5,216
22.0,215
22.5,214
23.0,214
23.5,214
24.0,214
24.5,214
25.0,214
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
