Manufacturer,Alizeo
Model,Alizeo_1000-64_Softwind_Alizeo
Capacity,1000
Usage,Onshore
HubHeight,"50, 50"
Source,World Wind Farm 2023
RotorDiameter,64.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,15
4.0,32
4.5,63
5.0,94
5.5,129
6.0,163
6.5,211
7.0,260
7.5,330
8.0,396
8.5,476
9.0,557
9.5,667
10.0,777
10.5,880
11.0,970
11.5,992
12.0,1000
12.5,1000
13.0,1000
13.5,1000
14.0,1000
14.5,1000
15.0,1000
15.5,0
16.0,0
16.5,0
17.0,0
17.5,0
18.0,0
18.5,0
19.0,0
19.5,0
20.0,0
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
