Manufacturer,Danwin
Model,20-140_Danwin
Capacity,140
Usage,Onshore
HubHeight,"25, 25"
Source,World Wind Farm 2023
RotorDiameter,19.6
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,1
4.0,2
4.5,5
5.0,8
5.5,11
6.0,14
6.5,18
7.0,23
7.5,28
8.0,34
8.5,43
9.0,54
9.5,63
10.0,73
10.5,81
11.0,90
11.5,99
12.0,109
12.5,116
13.0,122
13.5,128
14.0,133
14.5,136
15.0,139
15.5,139
16.0,139
16.5,138
17.0,137
17.5,135
18.0,133
18.5,131
19.0,130
19.5,129
20.0,129
20.5,129
21.0,129
21.5,129
22.0,129
22.5,129
23.0,129
23.5,129
24.0,129
24.5,129
25.0,129
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
