Manufacturer,e.n.o. energy
Model,114_4.8_MW_e.n.o._energy
Capacity,4800
Usage,Onshore
HubHeight,"92, 142"
Source,World Wind Farm 2023
RotorDiameter,114.9
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,7
4.0,205
4.5,340
5.0,495
5.5,690
6.0,892
6.5,1075
7.0,1272
7.5,1487
8.0,1706
8.5,1940
9.0,2176
9.5,2440
10.0,2701
10.5,3125
11.0,3543
11.5,3820
12.0,4095
12.5,4320
13.0,4483
13.5,4610
14.0,4709
14.5,4782
15.0,4800
15.5,4800
16.0,4800
16.5,4800
17.0,4800
17.5,4800
18.0,4800
18.5,4800
19.0,4800
19.5,4800
20.0,4800
20.5,4800
21.0,4800
21.5,4800
22.0,4800
22.5,4800
23.0,4800
23.5,4800
24.0,4800
24.5,4800
25.0,4800
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
