Manufacturer,Repower
Model,48-600_Repower
Capacity,600
Usage,Onshore
HubHeight,"50, 75"
Source,World Wind Farm 2023
RotorDiameter,48.4
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,10
4.0,21
4.5,35
5.0,52
5.5,70
6.0,89
6.5,115
7.0,152
7.5,193
8.0,235
8.5,278
9.0,320
9.5,369
10.0,417
10.5,454
11.0,490
11.5,528
12.0,557
12.5,579
13.0,597
13.5,612
14.0,624
14.5,625
15.0,625
15.5,625
16.0,625
16.5,620
17.0,614
17.5,612
18.0,610
18.5,607
19.0,605
19.5,602
20.0,600
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
