Manufacturer,Gamesa
Model,G90-2000_Gamesa
Capacity,2000
Usage,Onshore
HubHeight,"55, 100"
Source,World Wind Farm 2023
RotorDiameter,90.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,18
3.0,27
3.5,52
4.0,77
4.5,123
5.0,170
5.5,241
6.0,312
6.5,427
7.0,542
7.5,715
8.0,888
8.5,1068
9.0,1249
9.5,1424
10.0,1600
10.5,1750
11.0,1901
11.5,1970
12.0,2000
12.5,2000
13.0,2000
13.5,2000
14.0,2000
14.5,2000
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,1960
22.0,1890
22.5,1786
23.0,1682
23.5,1559
24.0,1436
24.5,1296
25.0,1156
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
