Manufacturer,Nordex
Model,N27-150_Nordex
Capacity,150
Usage,Onshore
HubHeight,"30, 50"
Source,World Wind Farm 2023
RotorDiameter,27.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,2
3.5,3
4.0,4
4.5,12
5.0,23
5.5,35
6.0,43
6.5,58
7.0,69
7.5,85
8.0,100
8.5,113
9.0,126
9.5,140
10.0,152
10.5,160
11.0,166
11.5,172
12.0,176
12.5,179
13.0,180
13.5,180
14.0,179
14.5,177
15.0,174
15.5,171
16.0,168
16.5,165
17.0,162
17.5,159
18.0,155
18.5,152
19.0,149
19.5,147
20.0,144
20.5,142
21.0,140
21.5,137
22.0,135
22.5,132
23.0,131
23.5,130
24.0,129
24.5,128
25.0,127
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
