Manufacturer,Neg Micon
Model,NM48-750_Neg_Micon
Capacity,750
Usage,Onshore
HubHeight,"50, 70"
Source,World Wind Farm 2023
RotorDiameter,48.2
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,10
4.0,20
4.5,37
5.0,53
5.5,75
6.0,97
6.5,126
7.0,155
7.5,200
8.0,245
8.5,297
9.0,349
9.5,406
10.0,462
10.5,515
11.0,565
11.5,604
12.0,641
12.5,670
13.0,696
13.5,715
14.0,730
14.5,739
15.0,746
15.5,749
16.0,750
16.5,748
17.0,745
17.5,740
18.0,735
18.5,729
19.0,723
19.5,718
20.0,712
20.5,707
21.0,701
21.5,698
22.0,694
22.5,694
23.0,693
23.5,694
24.0,695
24.5,698
25.0,700
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
