Manufacturer,Gamesa
Model,G97-2000_Gamesa
Capacity,2000
Usage,Onshore
HubHeight,"78, 120"
Source,World Wind Farm 2023
RotorDiameter,97.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,11
3.5,30
4.0,65
4.5,130
5.0,204
5.5,310
6.0,435
6.5,577
7.0,719
7.5,880
8.0,1040
8.5,1217
9.0,1394
9.5,1590
10.0,1750
10.5,1845
11.0,1907
11.5,1940
12.0,1961
12.5,1972
13.0,1983
13.5,1992
14.0,2000
14.5,2000
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,1985
21.0,1965
21.5,1945
22.0,1883
22.5,1792
23.0,1700
23.5,1590
24.0,1470
24.5,1332
25.0,1188
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
