Manufacturer,W2E
Model,W2E-215-9.0_W2E
Capacity,9000
Usage,Onshore
HubHeight,"nan, nan"
Source,World Wind Farm 2023
RotorDiameter,215.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,147
3.5,320
4.0,534
4.5,835
5.0,1154
5.5,1600
6.0,2070
6.5,2705
7.0,3318
7.5,4080
8.0,4800
8.5,5620
9.0,6380
9.5,7085
10.0,7708
10.5,8155
11.0,8503
11.5,8750
12.0,8902
12.5,8980
13.0,9000
13.5,9000
14.0,9000
14.5,9000
15.0,9000
15.5,9000
16.0,9000
16.5,9000
17.0,9000
17.5,9000
18.0,9000
18.5,9000
19.0,9000
19.5,9000
20.0,9000
20.5,9000
21.0,9000
21.5,9000
22.0,9000
22.5,9000
23.0,9000
23.5,9000
24.0,9000
24.5,9000
25.0,9000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
