Manufacturer,Aerodyn Engineering GmbH
Model,SCD_8.0-168_Aerodyn_Engineering_GmbH
Capacity,8000
Usage,Offshore
HubHeight,"110, 110"
Source,World Wind Farm 2023
RotorDiameter,168.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,40
4.0,100
4.5,280
5.0,500
5.5,720
6.0,1000
6.5,1500
7.0,2000
7.5,2500
8.0,3000
8.5,3500
9.0,4000
9.5,4500
10.0,5000
10.5,5500
11.0,6000
11.5,6660
12.0,7300
12.5,7750
13.0,8000
13.5,8000
14.0,8000
14.5,8000
15.0,8000
15.5,8000
16.0,8000
16.5,8000
17.0,8000
17.5,8000
18.0,8000
18.5,8000
19.0,8000
19.5,8000
20.0,8000
20.5,8000
21.0,8000
21.5,8000
22.0,8000
22.5,8000
23.0,8000
23.5,8000
24.0,8000
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
