Manufacturer,Northern Power Systems
Model,NPS_100C-24_Northern_Power_Systems
Capacity,100
Usage,Onshore
HubHeight,"22, 37"
Source,World Wind Farm 2023
RotorDiameter,24.4
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,1
3.5,4
4.0,7
4.5,11
5.0,15
5.5,20
6.0,25
6.5,31
7.0,38
7.5,47
8.0,59
8.5,67
9.0,75
9.5,80
10.0,85
10.5,88
11.0,91
11.5,93
12.0,95
12.5,95
13.0,95
13.5,95
14.0,95
14.5,95
15.0,94
15.5,94
16.0,93
16.5,92
17.0,91
17.5,90
18.0,89
18.5,88
19.0,87
19.5,85
20.0,84
20.5,82
21.0,81
21.5,80
22.0,79
22.5,78
23.0,76
23.5,75
24.0,74
24.5,73
25.0,72
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
