Manufacturer,Aeronautica Windpower
Model,30-250_Aeronautica_Windpower
Capacity,250
Usage,Onshore
HubHeight,"30, 50"
Source,World Wind Farm 2023
RotorDiameter,30.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,4
4.0,9
4.5,14
5.0,18
5.5,23
6.0,28
6.5,42
7.0,57
7.5,72
8.0,88
8.5,105
9.0,122
9.5,136
10.0,150
10.5,163
11.0,175
11.5,186
12.0,196
12.5,205
13.0,213
13.5,221
14.0,228
14.5,234
15.0,240
15.5,245
16.0,250
16.5,250
17.0,250
17.5,250
18.0,250
18.5,250
19.0,250
19.5,250
20.0,250
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
