Manufacturer,Ecotecnia
Model,20_Ecotecnia
Capacity,150
Usage,Onshore
HubHeight,"30, 30"
Source,World Wind Farm 2023
RotorDiameter,20.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,0
5.0,4
5.5,6
6.0,9
6.5,12
7.0,16
7.5,21
8.0,28
8.5,35
9.0,43
9.5,55
10.0,68
10.5,79
11.0,90
11.5,101
12.0,111
12.5,123
13.0,134
13.5,143
14.0,151
14.5,154
15.0,153
15.5,152
16.0,151
16.5,150
17.0,149
17.5,149
18.0,149
18.5,148
19.0,148
19.5,148
20.0,148
20.5,148
21.0,148
21.5,148
22.0,148
22.5,148
23.0,148
23.5,148
24.0,148
24.5,148
25.0,148
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
