Manufacturer,WES
Model,WES100_WES
Capacity,100
Usage,Onshore
HubHeight,"18, 30"
Source,World Wind Farm 2023
RotorDiameter,17.9
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,1
3.5,2
4.0,3
4.5,4
5.0,6
5.5,8
6.0,11
6.5,14
7.0,18
7.5,22
8.0,27
8.5,32
9.0,39
9.5,45
10.0,54
10.5,62
11.0,68
11.5,76
12.0,82
12.5,86
13.0,89
13.5,93
14.0,96
14.5,98
15.0,99
15.5,99
16.0,100
16.5,100
17.0,100
17.5,100
18.0,100
18.5,100
19.0,100
19.5,100
20.0,100
20.5,100
21.0,100
21.5,100
22.0,100
22.5,100
23.0,100
23.5,100
24.0,100
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
