Manufacturer,GE Energy
Model,3.2-130_GE_Energy
Capacity,3200
Usage,Onshore
HubHeight,"85, 155"
Source,World Wind Farm 2023
RotorDiameter,130.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,56
3.5,128
4.0,216
4.5,321
5.0,449
5.5,606
6.0,791
6.5,1011
7.0,1235
7.5,1547
8.0,1858
8.5,2175
9.0,2473
9.5,2737
10.0,2933
10.5,3067
11.0,3165
11.5,3202
12.0,3221
12.5,3230
13.0,3230
13.5,3230
14.0,3230
14.5,3230
15.0,3230
15.5,3230
16.0,3230
16.5,3230
17.0,3230
17.5,3230
18.0,3230
18.5,3230
19.0,3230
19.5,3230
20.0,3230
20.5,3230
21.0,3230
21.5,3230
22.0,3230
22.5,3230
23.0,3230
23.5,3230
24.0,3230
24.5,3230
25.0,3230
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
