Manufacturer,Senvion
Model,3.4M122_NES_Senvion
Capacity,3400
Usage,Onshore
HubHeight,"86, 139"
Source,World Wind Farm 2023
RotorDiameter,122.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,25
3.0,60
3.5,125
4.0,197
4.5,288
5.0,385
5.5,554
6.0,727
6.5,919
7.0,1112
7.5,1373
8.0,1634
8.5,1930
9.0,2225
9.5,2514
10.0,2798
10.5,3015
11.0,3191
11.5,3335
12.0,3400
12.5,3400
13.0,3400
13.5,3400
14.0,3400
14.5,3400
15.0,3400
15.5,3400
16.0,3400
16.5,3400
17.0,3400
17.5,3400
18.0,3400
18.5,3400
19.0,3400
19.5,3400
20.0,3400
20.5,3400
21.0,3400
21.5,3400
22.0,3400
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
