Manufacturer,Vestas
Model,V25-200_Vestas
Capacity,200
Usage,Onshore
HubHeight,"30, 38.5"
Source,World Wind Farm 2023
RotorDiameter,25.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,5
5.0,11
5.5,17
6.0,24
6.5,31
7.0,37
7.5,45
8.0,53
8.5,64
9.0,75
9.5,86
10.0,97
10.5,108
11.0,118
11.5,130
12.0,144
12.5,156
13.0,166
13.5,176
14.0,188
14.5,196
15.0,200
15.5,200
16.0,200
16.5,200
17.0,200
17.5,200
18.0,200
18.5,200
19.0,200
19.5,200
20.0,200
20.5,200
21.0,200
21.5,200
22.0,200
22.5,200
23.0,200
23.5,200
24.0,200
24.5,200
25.0,200
25.5,200
26.0,200
26.5,200
27.0,200
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
