Manufacturer,Enercon
Model,E126-3500_Enercon
Capacity,3500
Usage,Onshore
HubHeight,"86, 135"
Source,World Wind Farm 2023
RotorDiameter,126.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,15
3.0,40
3.5,102
4.0,172
4.5,289
5.0,410
5.5,542
6.0,680
6.5,890
7.0,1113
7.5,1378
8.0,1642
8.5,1960
9.0,2278
9.5,2570
10.0,2860
10.5,3060
11.0,3232
11.5,3330
12.0,3403
12.5,3445
13.0,3470
13.5,3490
14.0,3500
14.5,3500
15.0,3500
15.5,3500
16.0,3500
16.5,3500
17.0,3500
17.5,3500
18.0,3500
18.5,3500
19.0,3500
19.5,3500
20.0,3500
20.5,3500
21.0,3500
21.5,3500
22.0,3500
22.5,3486
23.0,3470
23.5,3460
24.0,3444
24.5,3425
25.0,3401
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
