Manufacturer,ADES
Model,ADES_335_ADES
Capacity,335
Usage,Onshore
HubHeight,"36, 36"
Source,World Wind Farm 2023
RotorDiameter,36.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,6
4.0,10
4.5,15
5.0,22
5.5,27
6.0,36
6.5,46
7.0,60
7.5,78
8.0,101
8.5,126
9.0,151
9.5,178
10.0,204
10.5,242
11.0,280
11.5,315
12.0,335
12.5,335
13.0,335
13.5,335
14.0,335
14.5,335
15.0,335
15.5,335
16.0,335
16.5,335
17.0,335
17.5,335
18.0,335
18.5,335
19.0,335
19.5,335
20.0,335
20.5,335
21.0,335
21.5,335
22.0,335
22.5,335
23.0,335
23.5,335
24.0,335
24.5,335
25.0,335
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
