Manufacturer,Suzlon
Model,S66-1250_Suzlon
Capacity,1250
Usage,Onshore
HubHeight,"56, 74"
Source,World Wind Farm 2023
RotorDiameter,66.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,80
4.5,105
5.0,134
5.5,200
6.0,269
6.5,355
7.0,444
7.5,540
8.0,637
8.5,745
9.0,850
9.5,940
10.0,1030
10.5,1100
11.0,1165
11.5,1210
12.0,1240
12.5,1248
13.0,1250
13.5,1250
14.0,1250
14.5,1250
15.0,1250
15.5,1250
16.0,1250
16.5,1250
17.0,1250
17.5,1250
18.0,1250
18.5,1250
19.0,1250
19.5,1250
20.0,1250
20.5,1250
21.0,1250
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
