Manufacturer,Bonus
Model,B62-1300_Bonus
Capacity,1300
Usage,Onshore
HubHeight,"60, 60"
Source,World Wind Farm 2023
RotorDiameter,62.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,2
3.0,5
3.5,16
4.0,30
4.5,57
5.0,90
5.5,128
6.0,171
6.5,230
7.0,292
7.5,367
8.0,441
8.5,524
9.0,607
9.5,691
10.0,774
10.5,854
11.0,933
11.5,1005
12.0,1076
12.5,1133
13.0,1186
13.5,1224
14.0,1251
14.5,1270
15.0,1283
15.5,1291
16.0,1294
16.5,1296
17.0,1298
17.5,1299
18.0,1300
18.5,1300
19.0,1300
19.5,1300
20.0,1300
20.5,1300
21.0,1300
21.5,1300
22.0,1300
22.5,1300
23.0,1300
23.5,1300
24.0,1300
24.5,1300
25.0,1300
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
