Manufacturer,NRG Patagonia
Model,NRGP_64_NRG_Patagonia
Capacity,1500
Usage,Onshore
HubHeight,"70, 70"
Source,World Wind Farm 2023
RotorDiameter,64.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,9
3.0,19
3.5,44
4.0,69
4.5,107
5.0,144
5.5,199
6.0,253
6.5,333
7.0,412
7.5,504
8.0,596
8.5,709
9.0,822
9.5,961
10.0,1099
10.5,1225
11.0,1350
11.5,1464
12.0,1577
12.5,1610
13.0,1618
13.5,1616
14.0,1609
14.5,1600
15.0,1592
15.5,1583
16.0,1575
16.5,1566
17.0,1557
17.5,1549
18.0,1540
18.5,1532
19.0,1523
19.5,1515
20.0,1506
20.5,1497
21.0,1489
21.5,1480
22.0,1472
22.5,1463
23.0,1454
23.5,1446
24.0,1437
24.5,1429
25.0,1420
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
