Manufacturer,Bonus
Model,B54-1000_Bonus
Capacity,1000
Usage,Onshore
HubHeight,"50, 70"
Source,World Wind Farm 2023
RotorDiameter,54.1
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,24
4.5,45
5.0,69
5.5,98
6.0,130
6.5,175
7.0,219
7.5,277
8.0,334
8.5,399
9.0,463
9.5,531
10.0,598
10.5,664
11.0,730
11.5,789
12.0,847
12.5,900
13.0,929
13.5,955
14.0,973
14.5,985
15.0,991
15.5,995
16.0,997
16.5,998
17.0,999
17.5,1000
18.0,1000
18.5,1000
19.0,1000
19.5,1000
20.0,1000
20.5,1000
21.0,1000
21.5,1000
22.0,1000
22.5,1000
23.0,1000
23.5,1000
24.0,1000
24.5,1000
25.0,1000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
