Manufacturer,SRC Green Power
Model,SRC_200-30_SRC_Green_Power
Capacity,200
Usage,Onshore
HubHeight,"30, 45"
Source,World Wind Farm 2023
RotorDiameter,29.8
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,4
4.5,9
5.0,16
5.5,22
6.0,31
6.5,42
7.0,54
7.5,64
8.0,77
8.5,91
9.0,106
9.5,117
10.0,127
10.5,138
11.0,149
11.5,159
12.0,169
12.5,178
13.0,185
13.5,194
14.0,202
14.5,206
15.0,208
15.5,206
16.0,202
16.5,199
17.0,195
17.5,190
18.0,184
18.5,183
19.0,181
19.5,181
20.0,181
20.5,181
21.0,181
21.5,181
22.0,181
22.5,181
23.0,181
23.5,181
24.0,181
24.5,181
25.0,181
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
