Manufacturer,Lagerwey
Model,L82-2000_Lagerwey
Capacity,2000
Usage,Onshore
HubHeight,"66, 110"
Source,World Wind Farm 2023
RotorDiameter,82.5
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,30
4.0,67
4.5,115
5.0,166
5.5,237
6.0,310
6.5,411
7.0,512
7.5,634
8.0,755
8.5,887
9.0,1019
9.5,1188
10.0,1355
10.5,1499
11.0,1639
11.5,1750
12.0,1851
12.5,1940
13.0,2000
13.5,2000
14.0,2000
14.5,2000
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,2000
22.0,2000
22.5,2000
23.0,2000
23.5,2000
24.0,2000
24.5,2000
25.0,2000
25.5,2000
26.0,2000
26.5,2000
27.0,2000
27.5,2000
28.0,2000
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
