Manufacturer,Vestas
Model,V105-3450_Vestas
Capacity,3450
Usage,Onshore
HubHeight,"72.5, 72.5"
Source,World Wind Farm 2023
RotorDiameter,105.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,30
4.0,67
4.5,105
5.0,151
5.5,228
6.0,310
6.5,410
7.0,518
7.5,680
8.0,845
8.5,1055
9.0,1264
9.5,1562
10.0,1859
10.5,2190
11.0,2512
11.5,2850
12.0,3140
12.5,3316
13.0,3408
13.5,3450
14.0,3450
14.5,3450
15.0,3450
15.5,3450
16.0,3450
16.5,3450
17.0,3450
17.5,3450
18.0,3450
18.5,3450
19.0,3450
19.5,3450
20.0,3450
20.5,3450
21.0,3450
21.5,3450
22.0,3450
22.5,3450
23.0,3450
23.5,3450
24.0,3450
24.5,3450
25.0,3450
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
