Manufacturer,WESPA
Model,WESPA_200-29_WESPA
Capacity,205
Usage,Onshore
HubHeight,"36, 50"
Source,World Wind Farm 2023
RotorDiameter,29.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,2
4.0,4
4.5,9
5.0,15
5.5,22
6.0,30
6.5,41
7.0,54
7.5,63
8.0,74
8.5,88
9.0,105
9.5,117
10.0,128
10.5,138
11.0,148
11.5,157
12.0,167
12.5,176
13.0,184
13.5,192
14.0,199
14.5,202
15.0,205
15.5,205
16.0,205
16.5,202
17.0,200
17.5,197
18.0,194
18.5,188
19.0,183
19.5,182
20.0,182
20.5,181
21.0,181
21.5,181
22.0,181
22.5,181
23.0,181
23.5,181
24.0,181
24.5,181
25.0,181
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
