Manufacturer,Ghrepower
Model,FD21-100_Ghrepower
Capacity,100
Usage,Onshore
HubHeight,"30, 42"
Source,World Wind Farm 2023
RotorDiameter,21.5
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,2
4.0,4
4.5,6
5.0,9
5.5,13
6.0,17
6.5,22
7.0,27
7.5,33
8.0,40
8.5,46
9.0,53
9.5,60
10.0,67
10.5,74
11.0,80
11.5,86
12.0,91
12.5,96
13.0,100
13.5,105
14.0,110
14.5,113
15.0,116
15.5,118
16.0,120
16.5,0
17.0,0
17.5,0
18.0,0
18.5,0
19.0,0
19.5,0
20.0,0
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
