Manufacturer,Nordex
Model,N60-1300_Nordex
Capacity,1300
Usage,Onshore
HubHeight,"46, 69"
Source,World Wind Farm 2023
RotorDiameter,60.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,10
4.0,29
4.5,45
5.0,73
5.5,102
6.0,131
6.5,186
7.0,241
7.5,308
8.0,376
8.5,456
9.0,536
9.5,620
10.0,704
10.5,788
11.0,871
11.5,944
12.0,1016
12.5,1075
13.0,1124
13.5,1195
14.0,1247
14.5,1274
15.0,1301
15.5,1322
16.0,1344
16.5,1354
17.0,1364
17.5,1355
18.0,1335
18.5,1322
19.0,1319
19.5,1316
20.0,1314
20.5,1313
21.0,1312
21.5,1309
22.0,1307
22.5,1301
23.0,1295
23.5,1293
24.0,1292
24.5,1292
25.0,1292
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
