Manufacturer,Siemens-Gamesa
Model,SG_10.0-193_DD_Siemens-Gamesa
Capacity,10000
Usage,Offshore
HubHeight,"nan, nan"
Source,World Wind Farm 2023
RotorDiameter,193.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,94
4.0,209
4.5,480
5.0,801
5.5,1240
6.0,1713
6.5,2310
7.0,2920
7.5,3625
8.0,4333
8.5,5265
9.0,6201
9.5,7150
10.0,8092
10.5,8800
11.0,9299
11.5,9620
12.0,9824
12.5,9910
13.0,9962
13.5,9990
14.0,10000
14.5,10000
15.0,10000
15.5,10000
16.0,10000
16.5,10000
17.0,10000
17.5,10000
18.0,10000
18.5,10000
19.0,10000
19.5,10000
20.0,10000
20.5,10000
21.0,10000
21.5,10000
22.0,10000
22.5,10000
23.0,10000
23.5,10000
24.0,10000
24.5,10000
25.0,10000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
