Manufacturer,Danwin
Model,23-160_Danwin
Capacity,160
Usage,Onshore
HubHeight,"23, 23"
Source,World Wind Farm 2023
RotorDiameter,23.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,1
4.5,4
5.0,8
5.5,13
6.0,20
6.5,27
7.0,36
7.5,45
8.0,56
8.5,67
9.0,79
9.5,90
10.0,102
10.5,114
11.0,125
11.5,137
12.0,149
12.5,158
13.0,166
13.5,174
14.0,179
14.5,181
15.0,183
15.5,183
16.0,182
16.5,179
17.0,176
17.5,172
18.0,167
18.5,162
19.0,157
19.5,152
20.0,148
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
