Manufacturer,Norwin
Model,24-STALL-150_Norwin
Capacity,150
Usage,Onshore
HubHeight,"30, 30"
Source,World Wind Farm 2023
RotorDiameter,24.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,3
5.0,7
5.5,12
6.0,22
6.5,31
7.0,41
7.5,53
8.0,65
8.5,77
9.0,89
9.5,100
10.0,111
10.5,122
11.0,132
11.5,141
12.0,148
12.5,152
13.0,153
13.5,150
14.0,144
14.5,138
15.0,130
15.5,124
16.0,119
16.5,114
17.0,112
17.5,112
18.0,112
18.5,112
19.0,113
19.5,115
20.0,117
20.5,119
21.0,121
21.5,123
22.0,125
22.5,127
23.0,128
23.5,130
24.0,132
24.5,134
25.0,136
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
