Manufacturer,Enercon
Model,E70-2300_Enercon
Capacity,2300
Usage,Onshore
HubHeight,"57, 113"
Source,World Wind Farm 2023
RotorDiameter,71.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,2
2.5,10
3.0,18
3.5,37
4.0,56
4.5,91
5.0,127
5.5,183
6.0,240
6.5,320
7.0,400
7.5,513
8.0,626
8.5,759
9.0,892
9.5,1058
10.0,1223
10.5,1407
11.0,1590
11.5,1745
12.0,1900
12.5,1990
13.0,2080
13.5,2155
14.0,2230
14.5,2265
15.0,2300
15.5,2310
16.0,2310
16.5,2310
17.0,2310
17.5,2310
18.0,2310
18.5,2310
19.0,2310
19.5,2310
20.0,2310
20.5,2310
21.0,2310
21.5,2310
22.0,2310
22.5,2310
23.0,2310
23.5,2310
24.0,2310
24.5,2310
25.0,2310
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
