Manufacturer,Norwin
Model,29-STALL-225_kW_Norwin
Capacity,225
Usage,Onshore
HubHeight,"30, 40"
Source,World Wind Farm 2023
RotorDiameter,29.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,1
4.5,4
5.0,10
5.5,19
6.0,29
6.5,41
7.0,55
7.5,70
8.0,86
8.5,102
9.0,117
9.5,131
10.0,145
10.5,160
11.0,171
11.5,183
12.0,191
12.5,201
13.0,207
13.5,214
14.0,218
14.5,221
15.0,224
15.5,226
16.0,228
16.5,228
17.0,228
17.5,228
18.0,227
18.5,226
19.0,225
19.5,224
20.0,222
20.5,220
21.0,218
21.5,217
22.0,215
22.5,214
23.0,212
23.5,212
24.0,212
24.5,213
25.0,213
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
