Manufacturer,GE Energy
Model,2.75-120_GE_Energy
Capacity,2750
Usage,Onshore
HubHeight,"85, 139"
Source,World Wind Farm 2023
RotorDiameter,120.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,25
3.5,89
4.0,171
4.5,269
5.0,389
5.5,533
6.0,704
6.5,906
7.0,1136
7.5,1400
8.0,1674
8.5,1945
9.0,2173
9.5,2373
10.0,2518
10.5,2619
11.0,2696
11.5,2739
12.0,2766
12.5,2780
13.0,2780
13.5,2780
14.0,2780
14.5,2780
15.0,2780
15.5,2780
16.0,2780
16.5,2780
17.0,2780
17.5,2780
18.0,2780
18.5,2780
19.0,2780
19.5,2780
20.0,2780
20.5,2780
21.0,2780
21.5,2780
22.0,2780
22.5,2780
23.0,2780
23.5,2780
24.0,2780
24.5,2780
25.0,2780
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
