Manufacturer,SRC Green Power
Model,SRC_250-50_SRC_Green_Power
Capacity,250
Usage,Onshore
HubHeight,"30, 50"
Source,World Wind Farm 2023
RotorDiameter,31.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,5
4.0,12
4.5,17
5.0,24
5.5,31
6.0,40
6.5,51
7.0,64
7.5,80
8.0,100
8.5,122
9.0,147
9.5,165
10.0,183
10.5,200
11.0,215
11.5,232
12.0,242
12.5,251
13.0,253
13.5,253
14.0,253
14.5,252
15.0,251
15.5,250
16.0,248
16.5,248
17.0,248
17.5,248
18.0,248
18.5,248
19.0,248
19.5,248
20.0,248
20.5,248
21.0,248
21.5,248
22.0,248
22.5,248
23.0,248
23.5,248
24.0,248
24.5,248
25.0,248
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
