Manufacturer,Nordex
Model,N50-800_Nordex
Capacity,800
Usage,Onshore
HubHeight,"46, 70"
Source,World Wind Farm 2023
RotorDiameter,50.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,6
3.5,12
4.0,24
4.5,35
5.0,48
5.5,69
6.0,90
6.5,127
7.0,164
7.5,210
8.0,255
8.5,305
9.0,355
9.5,413
10.0,470
10.5,540
11.0,605
11.5,660
12.0,700
12.5,740
13.0,770
13.5,800
14.0,815
14.5,825
15.0,830
15.5,830
16.0,830
16.5,830
17.0,830
17.5,830
18.0,830
18.5,830
19.0,830
19.5,830
20.0,830
20.5,830
21.0,830
21.5,830
22.0,830
22.5,830
23.0,830
23.5,830
24.0,830
24.5,830
25.0,830
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
