Manufacturer,Vestas
Model,V66-1750_Vestas
Capacity,1750
Usage,Onshore
HubHeight,"60, 78"
Source,World Wind Farm 2023
RotorDiameter,66.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,33
4.0,73
4.5,104
5.0,141
5.5,194
6.0,251
6.5,324
7.0,398
7.5,468
8.0,552
8.5,666
9.0,779
9.5,908
10.0,1037
10.5,1148
11.0,1259
11.5,1367
12.0,1474
12.5,1568
13.0,1661
13.5,1697
14.0,1716
14.5,1735
15.0,1745
15.5,1748
16.0,1750
16.5,1750
17.0,1750
17.5,1750
18.0,1750
18.5,1750
19.0,1750
19.5,1750
20.0,1750
20.5,1750
21.0,1750
21.5,1750
22.0,1750
22.5,1750
23.0,1750
23.5,1750
24.0,1750
24.5,1750
25.0,1750
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
