Manufacturer,Northel Enerji
Model,250_Northel_Enerji
Capacity,250
Usage,Onshore
HubHeight,"30, 40"
Source,World Wind Farm 2023
RotorDiameter,30.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,1
2.5,3
3.0,6
3.5,9
4.0,13
4.5,19
5.0,26
5.5,37
6.0,49
6.5,64
7.0,79
7.5,96
8.0,114
8.5,129
9.0,144
9.5,160
10.0,175
10.5,193
11.0,210
11.5,230
12.0,250
12.5,250
13.0,250
13.5,250
14.0,250
14.5,0
15.0,0
15.5,0
16.0,0
16.5,0
17.0,0
17.5,0
18.0,0
18.5,0
19.0,0
19.5,0
20.0,0
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
