Manufacturer,Neg Micon
Model,NM60-1000_Neg_Micon
Capacity,1000
Usage,Onshore
HubHeight,"70, 80"
Source,World Wind Farm 2023
RotorDiameter,60.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,12
3.5,24
4.0,37
4.5,60
5.0,84
5.5,113
6.0,142
6.5,203
7.0,263
7.5,331
8.0,399
8.5,470
9.0,541
9.5,602
10.0,663
10.5,712
11.0,761
11.5,818
12.0,874
12.5,914
13.0,954
13.5,987
14.0,1020
14.5,1029
15.0,1038
15.5,1041
16.0,1041
16.5,1036
17.0,1030
17.5,1020
18.0,1009
18.5,999
19.0,989
19.5,972
20.0,955
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
