Manufacturer,Innovative Windpower
Model,Falcon_1.25_MW-64_Innovative_Windpower
Capacity,1250
Usage,Onshore
HubHeight,"60, 100"
Source,World Wind Farm 2023
RotorDiameter,64.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,2
2.0,5
2.5,12
3.0,23
3.5,43
4.0,65
4.5,93
5.0,124
5.5,166
6.0,210
6.5,270
7.0,332
7.5,422
8.0,512
8.5,631
9.0,749
9.5,867
10.0,983
10.5,1080
11.0,1157
11.5,1205
12.0,1232
12.5,1243
13.0,1250
13.5,1250
14.0,1250
14.5,1250
15.0,1250
15.5,1250
16.0,1250
16.5,1250
17.0,1250
17.5,1250
18.0,1250
18.5,1250
19.0,1250
19.5,1250
20.0,1250
20.5,1250
21.0,1250
21.5,1250
22.0,1250
22.5,1250
23.0,1250
23.5,1250
24.0,1250
24.5,1250
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
