Manufacturer,Leitwind
Model,LTW70-2000_Leitwind
Capacity,2000
Usage,Onshore
HubHeight,"60, 60"
Source,World Wind Farm 2023
RotorDiameter,70.1
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,12
3.0,23
3.5,41
4.0,58
4.5,89
5.0,120
5.5,167
6.0,213
6.5,279
7.0,344
7.5,432
8.0,519
8.5,631
9.0,742
9.5,880
10.0,1018
10.5,1173
11.0,1327
11.5,1500
12.0,1672
12.5,1920
13.0,2000
13.5,2000
14.0,2000
14.5,2000
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,2000
22.0,2000
22.5,2000
23.0,2000
23.5,2000
24.0,2000
24.5,2000
25.0,2000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
