Manufacturer,Ecotecnia
Model,62_Ecotecnia
Capacity,1300
Usage,Onshore
HubHeight,"60, 80"
Source,World Wind Farm 2023
RotorDiameter,62.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,7
3.5,22
4.0,42
4.5,67
5.0,96
5.5,134
6.0,173
6.5,217
7.0,262
7.5,333
8.0,403
8.5,493
9.0,583
9.5,685
10.0,785
10.5,890
11.0,980
11.5,1065
12.0,1128
12.5,1192
13.0,1239
13.5,1276
14.0,1306
14.5,1325
15.0,1338
15.5,1346
16.0,1350
16.5,1350
17.0,1343
17.5,1330
18.0,1317
18.5,1298
19.0,1279
19.5,1258
20.0,1237
20.5,1216
21.0,1195
21.5,1181
22.0,1166
22.5,1154
23.0,1141
23.5,1134
24.0,1132
24.5,1131
25.0,1129
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
