Manufacturer,Nordtank
Model,NTK550-41_Nordtank
Capacity,550
Usage,Onshore
HubHeight,"42, 50"
Source,World Wind Farm 2023
RotorDiameter,41.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,13
5.0,27
5.5,47
6.0,67
6.5,92
7.0,117
7.5,148
8.0,179
8.5,212
9.0,245
9.5,276
10.0,306
10.5,334
11.0,362
11.5,388
12.0,413
12.5,435
13.0,456
13.5,473
14.0,490
14.5,503
15.0,515
15.5,525
16.0,534
16.5,540
17.0,546
17.5,550
18.0,554
18.5,555
19.0,555
19.5,553
20.0,550
20.5,546
21.0,542
21.5,537
22.0,531
22.5,526
23.0,520
23.5,515
24.0,510
24.5,506
25.0,501
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
