Manufacturer,Neg Micon
Model,NM64c-1500_Neg_Micon
Capacity,1500
Usage,Onshore
HubHeight,"68, 80"
Source,World Wind Farm 2023
RotorDiameter,64.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,22
5.0,54
5.5,99
6.0,152
6.5,208
7.0,281
7.5,361
8.0,452
8.5,542
9.0,632
9.5,732
10.0,831
10.5,919
11.0,1007
11.5,1095
12.0,1182
12.5,1259
13.0,1335
13.5,1392
14.0,1437
14.5,1469
15.0,1500
15.5,1497
16.0,1489
16.5,1483
17.0,1471
17.5,1449
18.0,1426
18.5,1404
19.0,1381
19.5,1354
20.0,1326
20.5,1299
21.0,1272
21.5,1247
22.0,1222
22.5,1206
23.0,1190
23.5,1170
24.0,1150
24.5,1146
25.0,1141
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
