Manufacturer,Repower
Model,MM82_Repower
Capacity,2000
Usage,Onshore
HubHeight,"59, 100"
Source,World Wind Farm 2023
RotorDiameter,82.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,25
4.0,66
4.5,129
5.0,192
5.5,267
6.0,343
6.5,431
7.0,519
7.5,615
8.0,711
8.5,835
9.0,959
9.5,1157
10.0,1355
10.5,1518
11.0,1681
11.5,1771
12.0,1861
12.5,1904
13.0,1947
13.5,1970
14.0,1987
14.5,1996
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,2000
22.0,2000
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
