Manufacturer,Windmaster
Model,WM22-150_Windmaster
Capacity,150
Usage,Onshore
HubHeight,"23, 23"
Source,World Wind Farm 2023
RotorDiameter,21.8
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,1
4.0,2
4.5,7
5.0,13
5.5,20
6.0,27
6.5,34
7.0,42
7.5,51
8.0,61
8.5,70
9.0,79
9.5,89
10.0,100
10.5,111
11.0,122
11.5,133
12.0,144
12.5,152
13.0,159
13.5,162
14.0,165
14.5,167
15.0,169
15.5,169
16.0,169
16.5,168
17.0,167
17.5,165
18.0,163
18.5,162
19.0,160
19.5,159
20.0,158
20.5,157
21.0,156
21.5,156
22.0,156
22.5,156
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
