Manufacturer,Fuhrländer
Model,FL_MD-77_Fuhrländer
Capacity,1500
Usage,Onshore
HubHeight,"61.5, 114.5"
Source,World Wind Farm 2023
RotorDiameter,77.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,26
4.0,51
4.5,94
5.0,136
5.5,205
6.0,280
6.5,355
7.0,433
7.5,540
8.0,650
8.5,780
9.0,910
9.5,1034
10.0,1158
10.5,1262
11.0,1365
11.5,1435
12.0,1492
12.5,1515
13.0,1521
13.5,1525
14.0,1525
14.5,1525
15.0,1525
15.5,1525
16.0,1525
16.5,1525
17.0,1525
17.5,1525
18.0,1525
18.5,1525
19.0,1525
19.5,1525
20.0,1525
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
