Manufacturer,Windmatic
Model,WM19-105_Windmatic
Capacity,105
Usage,Onshore
HubHeight,"30, 30"
Source,World Wind Farm 2023
RotorDiameter,19.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,1
3.5,2
4.0,4
4.5,6
5.0,9
5.5,12
6.0,16
6.5,20
7.0,25
7.5,31
8.0,37
8.5,45
9.0,54
9.5,62
10.0,70
10.5,80
11.0,90
11.5,96
12.0,101
12.5,101
13.0,99
13.5,98
14.0,96
14.5,94
15.0,91
15.5,88
16.0,85
16.5,83
17.0,81
17.5,79
18.0,77
18.5,76
19.0,75
19.5,75
20.0,74
20.5,74
21.0,73
21.5,73
22.0,72
22.5,72
23.0,72
23.5,72
24.0,72
24.5,72
25.0,72
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
