Manufacturer,GE Energy
Model,2.85-103_GE_Energy
Capacity,2850
Usage,Onshore
HubHeight,"75, 98"
Source,World Wind Farm 2023
RotorDiameter,103.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,45
4.5,135
5.0,236
5.5,362
6.0,492
6.5,642
7.0,803
7.5,1005
8.0,1250
8.5,1519
9.0,1788
9.5,2022
10.0,2256
10.5,2425
11.0,2588
11.5,2695
12.0,2780
12.5,2825
13.0,2850
13.5,2850
14.0,2850
14.5,2850
15.0,2850
15.5,2850
16.0,2850
16.5,2850
17.0,2850
17.5,2850
18.0,2850
18.5,2850
19.0,2850
19.5,2850
20.0,2850
20.5,2850
21.0,2850
21.5,2850
22.0,2850
22.5,2850
23.0,2850
23.5,2850
24.0,2850
24.5,2850
25.0,2850
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
