Manufacturer,Enercon
Model,E92-2350_Enercon
Capacity,2350
Usage,Onshore
HubHeight,"78, 138"
Source,World Wind Farm 2023
RotorDiameter,92.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,8
2.5,14
3.0,25
3.5,45
4.0,75
4.5,130
5.0,192
5.5,270
6.0,351
6.5,506
7.0,660
7.5,810
8.0,980
8.5,1190
9.0,1395
9.5,1610
10.0,1800
10.5,1940
11.0,2060
11.5,2190
12.0,2270
12.5,2310
13.0,2350
13.5,2350
14.0,2350
14.5,2350
15.0,2350
15.5,2350
16.0,2350
16.5,2350
17.0,2350
17.5,2350
18.0,2350
18.5,2350
19.0,2350
19.5,2350
20.0,2350
20.5,2350
21.0,2350
21.5,2350
22.0,2350
22.5,2350
23.0,2350
23.5,2350
24.0,2350
24.5,2350
25.0,2350
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
