Manufacturer,Wincon
Model,W755-48_Wincon
Capacity,755
Usage,Onshore
HubHeight,"45, 73"
Source,World Wind Farm 2023
RotorDiameter,48.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,3
3.0,6
3.5,14
4.0,24
4.5,35
5.0,48
5.5,67
6.0,87
6.5,122
7.0,157
7.5,200
8.0,243
8.5,291
9.0,338
9.5,392
10.0,446
10.5,506
11.0,564
11.5,612
12.0,658
12.5,696
13.0,731
13.5,752
14.0,769
14.5,775
15.0,781
15.5,780
16.0,778
16.5,776
17.0,774
17.5,771
18.0,767
18.5,761
19.0,755
19.5,755
20.0,755
20.5,755
21.0,755
21.5,755
22.0,755
22.5,755
23.0,755
23.5,755
24.0,755
24.5,755
25.0,755
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
