Manufacturer,SRC Green Power
Model,SRC_225-30_SRC_Green_Power
Capacity,225
Usage,Onshore
HubHeight,"30, 45"
Source,World Wind Farm 2023
RotorDiameter,29.8
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,2
4.0,5
4.5,7
5.0,10
5.5,20
6.0,31
6.5,42
7.0,54
7.5,62
8.0,73
8.5,88
9.0,110
9.5,124
10.0,137
10.5,158
11.0,178
11.5,193
12.0,207
12.5,216
13.0,220
13.5,224
14.0,225
14.5,224
15.0,223
15.5,222
16.0,222
16.5,222
17.0,222
17.5,222
18.0,222
18.5,222
19.0,222
19.5,222
20.0,222
20.5,222
21.0,222
21.5,222
22.0,222
22.5,222
23.0,222
23.5,222
24.0,222
24.5,222
25.0,222
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
