Manufacturer,Nordtank
Model,NTK150-25_Nordtank
Capacity,150
Usage,Onshore
HubHeight,"30, 30"
Source,World Wind Farm 2023
RotorDiameter,24.6
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,3
5.0,8
5.5,15
6.0,24
6.5,32
7.0,40
7.5,51
8.0,63
8.5,75
9.0,88
9.5,99
10.0,111
10.5,122
11.0,132
11.5,140
12.0,147
12.5,153
13.0,157
13.5,157
14.0,155
14.5,151
15.0,149
15.5,149
16.0,149
16.5,149
17.0,149
17.5,149
18.0,149
18.5,149
19.0,149
19.5,149
20.0,149
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
