Manufacturer,Danwin
Model,27-225_Danwin
Capacity,225
Usage,Onshore
HubHeight,"30, 39"
Source,World Wind Farm 2023
RotorDiameter,27.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,3
4.5,8
5.0,13
5.5,19
6.0,26
6.5,37
7.0,48
7.5,62
8.0,77
8.5,94
9.0,110
9.5,127
10.0,143
10.5,160
11.0,176
11.5,191
12.0,206
12.5,216
13.0,222
13.5,224
14.0,225
14.5,223
15.0,220
15.5,217
16.0,213
16.5,210
17.0,207
17.5,204
18.0,201
18.5,199
19.0,197
19.5,196
20.0,195
20.5,194
21.0,193
21.5,193
22.0,192
22.5,192
23.0,193
23.5,193
24.0,194
24.5,194
25.0,195
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
