Manufacturer,Unison
Model,U151_Unison
Capacity,4300
Usage,Onshore
HubHeight,"95, 125"
Source,World Wind Farm 2023
RotorDiameter,151.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,60
3.5,150
4.0,245
4.5,380
5.0,522
5.5,740
6.0,959
6.5,1275
7.0,1590
7.5,2012
8.0,2433
8.5,2895
9.0,3355
9.5,3700
10.0,4020
10.5,4180
11.0,4250
11.5,4285
12.0,4300
12.5,4300
13.0,4300
13.5,4300
14.0,4300
14.5,4300
15.0,4300
15.5,4300
16.0,4300
16.5,4300
17.0,4300
17.5,4300
18.0,4300
18.5,4300
19.0,4300
19.5,4300
20.0,4300
20.5,4300
21.0,4300
21.5,4300
22.0,4300
22.5,4300
23.0,4300
23.5,4300
24.0,4300
24.5,4300
25.0,4300
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
