Manufacturer,Neg Micon
Model,NM82-1500_Neg_Micon
Capacity,1500
Usage,Onshore
HubHeight,"94, 109"
Source,World Wind Farm 2023
RotorDiameter,82.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,30
4.0,65
4.5,125
5.0,188
5.5,260
6.0,331
6.5,395
7.0,481
7.5,600
8.0,728
8.5,876
9.0,1023
9.5,1158
10.0,1292
10.5,1370
11.0,1413
11.5,1460
12.0,1494
12.5,1500
13.0,1500
13.5,1500
14.0,1500
14.5,1500
15.0,1500
15.5,1500
16.0,1500
16.5,0
17.0,0
17.5,0
18.0,0
18.5,0
19.0,0
19.5,0
20.0,0
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
