Manufacturer,Bonus
Model,B23-150_Bonus
Capacity,150
Usage,Onshore
HubHeight,"30, 40"
Source,World Wind Farm 2023
RotorDiameter,23.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,2
4.5,5
5.0,11
5.5,16
6.0,22
6.5,29
7.0,36
7.5,47
8.0,59
8.5,71
9.0,84
9.5,97
10.0,109
10.5,120
11.0,131
11.5,139
12.0,146
12.5,150
13.0,154
13.5,154
14.0,154
14.5,152
15.0,149
15.5,144
16.0,140
16.5,135
17.0,131
17.5,127
18.0,124
18.5,122
19.0,121
19.5,120
20.0,119
20.5,118
21.0,118
21.5,118
22.0,118
22.5,118
23.0,118
23.5,117
24.0,117
24.5,117
25.0,117
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
