Manufacturer,Enercon
Model,E66-1800_Enercon
Capacity,1800
Usage,Onshore
HubHeight,"67, 98"
Source,World Wind Farm 2023
RotorDiameter,66.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,18
4.0,35
4.5,68
5.0,101
5.5,148
6.0,194
6.5,264
7.0,334
7.5,417
8.0,500
8.5,613
9.0,725
9.5,859
10.0,992
10.5,1154
11.0,1316
11.5,1471
12.0,1625
12.5,1725
13.0,1800
13.5,1815
14.0,1820
14.5,1820
15.0,1820
15.5,1820
16.0,1820
16.5,1820
17.0,1820
17.5,1820
18.0,1820
18.5,1820
19.0,1820
19.5,1820
20.0,1820
20.5,1820
21.0,1820
21.5,1820
22.0,1820
22.5,1820
23.0,1820
23.5,1820
24.0,1820
24.5,1820
25.0,1820
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
