Manufacturer,Siemens
Model,SWT-3.15-142_Siemens
Capacity,3150
Usage,Onshore
HubHeight,"109, 165"
Source,World Wind Farm 2023
RotorDiameter,142.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,25
3.0,55
3.5,145
4.0,239
4.5,392
5.0,549
5.5,760
6.0,968
6.5,1245
7.0,1522
7.5,1863
8.0,2202
8.5,2510
9.0,2816
9.5,2980
10.0,3090
10.5,3135
11.0,3145
11.5,3148
12.0,3150
12.5,3150
13.0,3150
13.5,3150
14.0,3150
14.5,3150
15.0,3150
15.5,3150
16.0,3150
16.5,3150
17.0,3150
17.5,3150
18.0,3150
18.5,3150
19.0,3150
19.5,3150
20.0,3150
20.5,3150
21.0,3150
21.5,3150
22.0,3150
22.5,3150
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
